date;ticker;ALPHA_OVERRIDABLE;ASSET_CVRG_RATIO;BB_1YR_DEFAULT_PROB;BB_2Y_DEFAULT_PROB;BB_3Y_DEFAULT_PROB;BB_4Y_DEFAULT_PROB;BB_5Y_DEFAULT_PROB;BEST_ANALYST_RATING;BEST_BPS;BEST_CPS;BEST_CUR_EV_TO_EBITDA;BEST_EBIT;BEST_EBITDA;BEST_EPS;BEST_EPS_GAAP;BEST_EPS_MEDIAN;BEST_EPS_NUMEST;BEST_NET_DEBT;BEST_NET_INCOME;BEST_OPP;BEST_PEG_RATIO;BEST_PE_RATIO_GAAP;BEST_ROE;BEST_SALES;BEST_TARGET_PRICE;BETA_ADJ_OVERRIDABLE;BETA_STD_DEV_ERR_OVERRIDABLE;BLOOMBERG_ISSUER_DEFAULT_SCORE;CAPITAL_EXPEND;CAP_EXPEND_RATIO;CASH_RATIO;CFO_TO_AVG_CURRENT_LIABILITIES;CF_CASH_FROM_OPER;CF_FREE_CASH_FLOW;COUNTRY_RISK_DIVIDEND_YIELD;COUNTRY_RISK_GROWTH_RATE;COUNTRY_RISK_MARKET_RETURN;COUNTRY_RISK_PAYOUT_RATIO;COUNTRY_RISK_PREMIUM;CUR_RATIO;DEBT_TO_MKT_CAP;EARN_FOR_COMMON;EBITDA;EBITDA_TO_INTEREST_EXPN;EBITDA_TO_REVENUE;EBIT_TO_INT_EXP;ENTERPRISE_VALUE;EQY_FLOAT;EQY_REC_CONS;EQY_WEIGHTED_AVG_PX;EST_PE_CUR_YR;EV_TO_T12M_SALES;FCF_TO_TOTAL_DEBT;FREE_CASH_FLOW_YIELD;GROSS_MARGIN;GROSS_PROFIT;HISTORICAL_MARKET_CAP;IS_DIL_EPS_CONT_OPS;LONG_TERM_PRICE_EARNINGS_RATIO;NET_DEBT;NET_DEBT_TO_CASHFLOW;NET_DEBT_TO_EBITDA;NET_INCOME_TO_COMMON_MARGIN;NUM_TRADES;PE_RATIO;PRICE_TO_COMPARABLE_EPS;PX_ASK;PX_BID;PX_ERN_RATIO_WITH_LOW_CLOS_PX;PX_HIGH;PX_LAST;PX_LOW;PX_MID;PX_OFFICIAL_CLOSE;PX_OPEN;PX_TO_CASH_FLOW;PX_TO_EBITDA;PX_TO_EPS_BEFORE_ABNORMAL_ITEMS;PX_TO_FREE_CASH_FLOW;PX_TO_SALES_RATIO;PX_TO_TANG_BV_PER_SH;PX_VOLUME;QUICK_RATIO;REL_SHR_PX_MOMENTUM;RISK_PREMIUM;RSK_BB_IMPLIED_CDS_SPREAD;SALES_GROWTH;SALES_REV_TURN;SHORT_AND_LONG_TERM_DEBT;T12M_DIL_PE_CONT_OPS;TOTAL_DEBT_TO_EV;TOT_ANALYST_REC;TOT_BUY_REC;TOT_DEBT_TO_COM_EQY;TOT_DEBT_TO_TOT_ASSET;TOT_HOLD_REC;TOT_SELL_REC;VAR_SWAP_12M_LV;VOLATILITY_20D;VOLATILITY_260D;VOLATILITY_30D;VOLATILITY_360D;VOLATILITY_90D;VWAP_VOLUME;WACC_COST_DEBT;WACC_COST_EQUITY;Variavel_resposta
12/02/2010 00:00;AMZN US Equity;0.1841;136.285;0.000030138;0.000721139;0.002394981;0.004595436;0.007077496;4.306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159.229;10.642;0.0579;2;-137;190.511;0.8645;0.5437;2610;2473;20.212;107.221;109.782;294.667;72.854;13.304;0.0074;384;588;73.5;61.771;59.5;53753.88;346.934;4.306;1.189.746;0;21.933;74.275;55.529;207.585;1976;59726.88;0.8514;2.255.793;-5973;-18.144;-39.348;4.034;0;569.978;589.458;119.81;119.66;569.978;119.94;119.66;117.5;119.735;0;118.99;159.471;342.289;557.525;180.086;21.203;132.063;8075533;0.9986;27.655;66.138;19;419.899;9519;393;569.978;0.0073;36;25;74.757;28.451;10;1;0;33.915;45.736;31.347;62.273;51.194;8024738;32.031;104.506;0
16/02/2010 00:00;AMZN US Equity;0.1837;136.285;0.000031043;0.000732654;0.002420904;0.004634488;0.007125953;4.306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159.229;10.608;0.058;2;-137;190.511;0.8645;0.5437;2610;2473;19.829;101.503;107.191;29.471;70.622;13.304;0.0075;384;588;73.5;61.771;59.5;53753.88;346.934;4.306;1.181.848;0;21.933;74.275;56.535;207.585;1976;59726.88;0.8514;2.215.639;-5973;-18.144;-39.348;4.034;0;559.832;578.966;117.53;117.36;559.832;120.5;117.53;117.18;117.445;0;120.06;156.632;336.196;547.601;176.881;20.826;129.712;8938494;0.9986;28.96;66.138;21;419.899;9519;393;559.832;0.0073;36;25;74.757;28.451;10;1;0;34.224;45.577;31.623;62.226;51.053;8897440;32.031;104.506;1
17/02/2010 00:00;AMZN US Equity;0.1804;136.285;0.000031587;0.000739574;0.002436533;0.004658125;0.007155382;4.306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159.108;10.606;0.058;2;-137;190.511;0.8645;0.5437;2610;2473;19.744;101.777;106.193;294.753;68.886;13.304;0.0076;384;588;73.5;61.771;59.5;53753.88;346.934;4.306;1.162.269;0;21.933;74.275;57.128;207.585;1976;59726.88;0.8514;219.264;-5973;-18.144;-39.348;4.034;0;55.402;572.956;116.31;116.29;55.402;117.13;116.31;115.55;116.3;0;117.075;155.006;332.706;541.917;175.044;2.061;128.366;8947449;0.9986;29.386;66.138;21;419.899;9519;393;55.402;0.0073;36;25;74.757;28.451;10;1;0;34.085;45.485;31.503;62.218;51.066;8902406;32.031;104.506;1
18/02/2010 00:00;AMZN US Equity;0.1816;136.285;0.000030804;0.000729587;0.002413965;0.004623984;0.007112868;4.306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159.108;10.607;0.0579;2;-137;190.511;0.8645;0.5437;2610;2473;19.651;102.192;105.775;29.459;67.764;13.304;0.0075;384;588;73.5;61.771;59.5;53753.88;346.934;4.306;116.8;0;21.933;74.275;56.272;207.585;1976;59726.88;0.8514;2.226.008;-5973;-18.144;-39.348;4.034;0;562.452;581.675;118.17;118.08;562.452;118.51;118.08;114.82;118.125;0;115.839;157.365;33.777;550.164;177.708;20.923;130.319;9807497;0.9986;30.361;66.138;21;419.899;9519;393;562.452;0.0073;36;25;74.757;28.451;10;1;0;34.61;45.229;31.787;62.219;51.111;9623213;32.031;104.506;1
19/02/2010 00:00;AMZN US Equity;0.1799;136.285;0.000031048;0.000732714;0.002421041;0.004634696;0.007126212;4.306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159.108;10.607;0.0578;2;-137;190.511;0.8645;0.5437;2610;2473;1.965;102.136;10.561;294.506;67.884;13.304;0.0075;384;588;73.5;61.771;59.5;53753.88;346.934;4.306;1.178.665;0;21.933;74.275;5.654;207.585;1976;59726.88;0.8514;2.215.451;-5973;-18.144;-39.348;4.034;0;559.784;578.916;117.5;117.45;559.784;119.09;117.52;117;117.475;0;117.91;156.619;336.168;547.555;176.866;20.824;129.701;7117494;0.9986;30.104;66.138;21;419.899;9519;393;559.784;0.0073;36;25;74.757;28.451;10;1;0;31.257;45.234;31.522;62.204;50.949;7031321;32.031;104.506;1
22/02/2010 00:00;AMZN US Equity;0.1819;136.285;0.000029971;0.000718368;0.002387851;0.00458357;0.007061672;4.306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159.108;10.586;0.0578;2;-137;190.511;0.8645;0.5437;2610;2473;19.675;10.317;105.904;294.656;67.949;13.304;0.0075;384;588;73.5;61.771;59.5;53753.88;346.928;4.306;1.178.172;0;21.933;74.275;56.305;207.585;1976;59726.88;0.8514;2.224.688;-5973;-18.144;-39.348;4.034;0;562.118;58.133;118.14;118.01;562.118;118.97;118.01;116.18;118.075;0;117.37;157.272;337.569;549.838;177.603;20.911;130.242;6809386;0.9986;30.101;66.138;21;419.899;9519;393;562.118;0.0073;36;25;74.757;28.451;10;1;0;31.184;44.901;30.212;61.653;50.918;6799982;32.031;104.506;1
23/02/2010 00:00;AMZN US Equity;0.1829;136.285;0.000030301;0.000722625;0.002397514;0.004598219;0.007079934;4.306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159.108;10.584;0.0579;2;-137;190.511;0.8645;0.5437;2610;2473;19.939;103.134;106.392;294.559;69.559;13.304;0.0075;384;588;73.5;61.771;59.5;53753.88;348.928;4.306;1.176.907;0;21.933;74.275;56.675;207.585;1976;59726.88;0.8514;2.210.172;-5973;-18.144;-39.348;4.034;0;55.845;577.537;117.31;117.25;55.845;119.25;117.24;116.51;117.28;0;118.01;156.246;335.367;54.625;176.444;20.774;129.392;7069011;0.9986;30.306;66.138;21;419.899;9519;393;55.845;0.0073;36;25;74.757;28.451;10;1;0;31.174;44.888;29.576;61.401;50.757;7041796;32.031;104.506;1
24/02/2010 00:00;AMZN US Equity;0.1847;136.285;0.000027504;0.000684733;0.002309508;0.004462585;0.006908741;4.306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159.108;10.587;0.0578;2;-137;190.511;0.8645;0.5437;2610;2473;19.728;103.038;106.368;294.469;69.458;13.304;0.0074;384;588;73.5;61.771;59.5;53753.88;348.928;4.306;1.187.183;0;21.933;74.275;55.501;207.585;1976;59726.88;0.8514;2.256.924;-5973;-18.144;-39.348;4.034;0;570.263;589.754;119.72;119.7;570.263;119.8;119.72;117.15;119.71;0;117.96;159.551;342.461;557.805;180.176;21.214;132.129;7393039;0.9986;30.656;66.138;20;419.899;9519;393;570.263;0.0073;36;25;74.757;28.451;10;1;0;30.459;44.919;29.833;61.239;50.772;7324086;32.031;104.506;1
25/02/2010 00:00;AMZN US Equity;0.1822;136.285;0.000027584;0.000685507;0.002310872;0.004464139;0.006910168;4.306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159.108;10.587;0.0577;2;-137;190.511;0.8645;0.5437;2610;2473;19.805;103.175;106.533;294.509;70.208;13.304;0.0075;384;588;73.5;61.771;59.5;53753.88;348.928;4.306;1.171.213;0;21.933;74.275;56.215;207.585;1976;59726.88;0.8514;222.827;-5973;-18.144;-39.348;4.034;0;563.023;582.266;118.2;118.18;563.023;118.34;118.2;115.85;118.19;0;118.17;157.525;338.113;550.723;177.889;20.944;130.452;9535889;0.9986;31.332;66.138;20;419.899;9519;393;563.023;0.0073;36;25;74.757;28.451;10;1;0;28.712;44.924;29.58;60.879;50.812;9513404;32.031;104.506;1
26/02/2010 00:00;AMZN US Equity;0.188;136.285;0.000027505;0.000684451;0.002308442;0.00446043;0.006905525;4.306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159.108;10.593;0.0577;2;-137;190.511;0.8645;0.5437;2610;2473;19.785;103.368;106.638;294.442;70.521;13.304;0.0075;384;588;73.5;61.771;59.5;53753.88;348.931;4.306;1.183.775;0;21.933;74.275;5.612;207.585;1976;59726.88;0.8514;223.204;-5973;-18.144;-39.348;4.034;0;563.976;583.251;118.37;118.27;563.976;119.43;118.4;117;118.32;0;117.88;157.792;338.685;551.655;17.819;2.098;130.673;5721864;0.9986;31.066;66.138;20;419.899;9519;393;563.976;0.0073;36;25;74.757;28.451;10;1;0;28.765;44.837;29.422;60.76;50.788;5663783;32.031;104.506;0
